CAPÍTOL PRIMER,En tan alt grau exceŀleix lo militar stament que deuria ésser molt reverit si los cavallers observaven aquell segons la fi per què fonch instituÿt e ordenat E per tant com la divina Providència ha ordenat e li plau que los VII planets donen influència en lo món e tenen domini sobre la humana natura donantlos diversas inclinacions de peccar e viciosament viure emperò nols ha tolt lo universal Creador lo franch arbitre que si aquell és ben regit les poden virtuosament vivint mitigar e vençre si usar volen de discreció E per ço ab lo divinal adjutori serà departit lo present libre de cavalleria en VII parts principals per demostrar la honor e senyoria que los cavallers deuen haver sobre lo poble La primera part serà del principi de cavalleria la segona serà del stament e offici de cavalleria lo terç és de lexamen que deu ésser fet al gentilom o generós qui vol rebre lorde de cavalleria lo quart és de la forma com deu ésser fet cavaller la sinquena és què signifiquen les armes del cavaller la sisena és dels actes e costumes que a cavaller pertanyen la setena e darera és de la honor que deu ésser feta al cavaller Les quals VII parts de cavalleria seran deduÿdes en serta part del libre Ara en lo principi se tractarà de certs virtuosos actes de cavalleria que féu lo egregi e strenu cavaller pare de cavalleria lo comte Guillem de Varoych en lo seus benaventurats darrés dies
CAPÍTOL SEGON,COM LO COMTE GUILLEM DE VEROYCH PREPOSÀ DE ANAR AL SANCT SEPULCRE E MANIFESTÀ A LA COMTESSA E ALS SERVIDORS LA SUA PARTIDA En la fèrtil riqua e delitosa illa de Anglaterra habitava un cavaller valentíssim noble de linatge e molt més de virtuts lo qual per la sua gran saviesa e alt enginy havie servit per lonch temps lart de cavalleria ab grandíssima honor la fama del qual en lo món molt triümfava3 nomenat lo comte Guillem de Varoych Aquest era un cavaller fortíssim qui en sa viril joventut havia sperimentada molt la sua nobla persona en lexercici de les armes seguint guerres axí en mar com en terra e havia portades moltes batalles a fi Aquest sera trobat en VII batalles campals hon hi havia rey o fill de rey hi de X mília combatents ensús e era entrat en V liçes de camp clos hu per hu e de tots havia obtesa victòria gloriosa E trobantse lo virtuós comte en edat avançada de LV anys mogut per divinal inspiració preposà de retraures de les armes e de anar en peregrinació e de passar a la Casa Sancta de Hierusalem hon tot cristià deu anar si li és possible per fer penitència e smena de sos defalliments E aquest virtuós comte hi volgué anar havent dolor e contrictió de moltes morts que en la joventut sua havia fetes seguint les guerres e batalles hon sera trobat E feta la deliberació en la nit manifestà a la comtessa muller sua la sua breu partida la qual ho pres ab molta inpaciència per bé que fos molt virtuosa e discreta per la molta amor que li portava la feminil condició promptament no pogué resistir que no demostràs ésser molt agreujada Al matí lo comte se féu venir davant tots sos servidors axí hòmens com dones e dixlos semblants paraules Mos fills e fidelíssims servidors a la magestat divina plau que yo mé a partir de vosaltres e la mia tornada més incerta si a Jhesuchrist serà plasent e lo viatge és de grandíssim perill per què ara de present vull satisfer a cascú de vosaltres lo bon servir que fet maveu E féuse traure una gran caxa de moneda e a cascú de sos servidors donà molt més que no devia que tots ne restaren molt contents Aprés féu donació a la comtessa de tot lo comdat a totes ses voluntats si bés tenia un fill de molta poca edat E havie fet fer un anell dor ab les armes sues e de la comtessa lo qual anell era fet ab tal artifici ques departia pel mig restant cascuna part anell sancer E ab la meytat de les armes de cascú com era ajustat se mostraven totes les armes E complit tot lo desús dit giràs a la virtuosa comtessa e ab cara molt afable féuli principi ab paraules de semblant stil
CAPÍTOL TERCER,COM LO COMTE MANIFESTÀ A LA COMTESSA SA MULLER LA SUA PARTIDA E LES RAHONS QUE LI FA E LO QUE ELLA REPLICÀ La speriència manifesta que tinch de vostra verdadera amor e condició afable muller senyora me fa sentir major dolor que no sentira car per la vostra molta virtut io us ame de sobirana amor e grandíssima és la pena e dolor que la mia ànima sent com pens en la vostra absència Però la gran sperança que tinch me fa aconortar havent notícia de vostres virtuoses obres que só cert que ab amor e paciència pendreu la mia partida e Déu volent lo meu viatge migançant les vostres justes preguàries prestament serà complit e saumentarà la vostra alegria Io us dexe senyora de tot quant he he us prech que tingau per recomanats lo fill los servidors vassalls e la casa e veus ací una part de lanell que yo he fet fer prechvos carament quel tingau en loch de la mia persona e quel guardeu fins a la mia tornada O trista de mi dix la adolorida comtessa E serà veritat senyor la vostra partida que façau sens mi Almenys feume gràcia que yo vaja ab vós perquè us pugua servir car més stime la mort que viure sens vostra senyoria E si lo contrari feu lo jorn que finaré los meus darrers dies no sentiré major dolor de la que ara sent e a tot mon seny desige sentísseu la strema pena que lo meu adolorit cors sosté com pens en la absència vostra Digaume senyor és aquest lo goig e consolació que yo sperava de vostra senyoria Aquest és lo conort de amor e fe conjugal que yo tenia en vós O mísera de mi On és la mia grandíssima sperança que yo tenia que lo restant de ma vida aturàs la senyoria vostra ab mi E no havia prou durat lo meu adolorit viduatge O trista de mi que tota la mia sperança veig perduda Vingua la mort puix res nom pot valer Vinguen trons e lamps e gran tempesta per ço que lo meu senyor ature que nos puga partir de mi O comtessa e senyora de mi Yo bé conech que la vostra strema amor vos fa passar los límits de la vostra gran discretió dix lo comte e deveu considerar que com nostre senyor Déu fa la gràtia al peccador quel fa venir a notícia de sos peccats e defalliments e vol fer penitència de aquells que la muller qui ama tant lo seu cors deu amar molt més lànima e no li deu contrastar ans deu fer gràties a nostre senyor Déu com là volgut iŀluminar E majorment yo que só tant gran peccador que en lo temps de les guerres he fets molts mals e dans a moltes gents E no val més puix me só apartat de les grans guerres e batalles quem dó tot al servey de Déu e faça penitència de mos peccats que no viure en los mundanals negocis Bona cosa seria aquexa dix la comtessa emperò veig que aquest càlzer de dolor a beure sà e tan amarch és per a mi qui só stada tant de temps que nos poria recitar orfe de pare e de mare e viuda de marit e senyor viu E ara que pensava que la mia fortuna fos passada e tots los passats mals aguessen remey e veig que les mies tristes dolors aumenten per què poré dir que nom resta sinó aquest miserable de fill en penyora de son pare e la trista de mare se haurà a conortar ab ell Pres lo petit fill per los cabells e tiràlshi e ab la mà li donà en la cara dientli Mon fill plora la dolorosa partida de ton pare e faràs companyia a la trista de ta mare E lo petit infant no havia sinó tres mesos que era nat e presse a plorar Lo comte qui véu plorar la mare e lo fill pres en si molt gran congoxa e volentla aconortar no pogué retenir les làgrimes de la sua natural amor manifestant la dolor e compassió que tenia de la mare e del fill e per bon spay stigué que no pogué parlar sinó que tots tres ploraven Com les dones e donzelles de la comtessa veren fer tan strem plor als tres mogudes de gran compassió se prengueren totes a plorar e fer grans lementacions per la molta amor que li portaven a la comtessa Les dones de honor de la ciutat sabent que lo comte devia partir anaren totes al castell per pendre son comiat Com foren dins en la cambra trobaren que lo comte estava aconortant la comtessa Com la comtessa véu entrar les honrades dones sperà ques fossen assegudes Aprés dix semblants paraules Mitigant los treballosos asalts que en lo feminil coratge desesperades elections e molt greus enugs procurant infonen gran és lo aturmentat sperit meu per hon les mies injustes aflictions poden ésser per vosaltres dones de honor conegudes E acompanyant les mies doloroses làgrimes e aspres sospirs vençuts per la mia justa querella presenten la aflictió e obra per la executió que tal sentiment los manifesta A vosaltres donchs dones casades endreçe los meus plors e les mies greus passions signifique per hon los meus mals fahentlos vostres ab mi us dolgau com semblant cas com lo meu seguir vos pugua E dolentvos del vostre qui us pot venir haureu compassió del meu qui més present e les orelles dels legints la mia dolor tal senyal façen per hon dels mals qui mesperen me planguen puix fermetat en los hòmens nos troba O mort cruel Per què véns a qui not vol e fuigs als quit desigen Totes aquelles dones de honor se levaren e suplicaren a la comtessa que fos de sa merçé que donàs spay a la sua dolor e ab lo comte ensemps aconortavenla en la millor manera que podien e ella presse a dir No és novella cosa a mi abundar en làgrimes com aquest sia mon costum car en diversos temps e anys que lo meu senyor era en la guerres de França a mi no és stat dia freturós de làgrimes e segons veig lo restant de ma vida hauré de passar ab noves lementacions E millor fóra per a mi passàs ma trista vida en durment4 perquè no sentís les cruels penes quim turmenten E com a laçerada de tal viure fora de tota sperança de consolació diré los sancts gloriosos prengueren martiri per Jesuchrist e yol vull pendre per vostra senyoria qui sou mon senyor E daçí avant feu tot lo que plasent vos sia puix fortuna alre nom consent per ésserme vós marit e senyor Emperò vull que vostra senyoria sàpia tant de mi que absenta de vós estich en infern e prop de vós en paradís Acabant la comtessa la sues doloroses lementacions parlà lo comte en la següent forma
CAPÍTOL QUART,RAONS DE CONSOLACIÓ QUE LO COMTE FA A LA COMTESSA E LO QUE ELLA REPLICÀ EN LO COMIAT E COM LO COMTE ANÀ EN HIERUSALEM Gran és la contentació que la mia ànima té de vós comtessa del so de les darreres paraules que maveu ara dites e si a la magestat divina serà plasent la mia tornada serà molt presta en aument de vostra alegria a salut5 de la mia ànima E honsevulla que yo sia la mia ànima serà ab vós contínuament Quina consolació puch yo haver de la vostra ànima sens lo cors dix la comtessa Mas bé só certa que per amor del fill sereu en recort alguna volta de mi car amor de luny e fum destopa tot és hu6 Voleu que us digua senyor Més és la mia dolor que no és la vostra amor car si fos axí com la senyoria vostra diu crech restaríeu per la amor mia Mas què val al moro la crisma si no coneix la sua error Què val a mi amor de marit sens res valer Comtessa senyora dix lo comte voleu que done fi a paraules Que a mi és forçat de partir e lanar e lo restar stà en la vostra mà Puix més no puch fer dix la comtessa entrarmen he en la mia cambra plorant la mia trista desaventura Lo comte pres dolorós comiat della besantla moltes voltes lançant dels seus hulls vives làgrimes e de totes les altres dames pres comiat ab dolor inefable E com sen partí no sen volgué portar sinó un sol scuder E partint de la sua ciutat de Varoych recullís en una nau e navegant ab pròsper vent per son discús de temps ell aribà en Alexandria ab bon salvament E exit en terra ab bona companyia féu la via de Hierusalem E junt en Hierusalem ell confessà bé e diligentment sos peccats e rebé ab grandíssima devoció lo preciós cors de Jhesucrist Aprés entrà per visitar lo Sanct Sepulcre de Jhesucrist e aquí féu molt fervent oratió ab moltes làgrimes e ab gran contrictió de sos peccats don meresqué obtenir la sancta perdonança E havent visitats tots los altres sanctuaris qui són en Hierusalem e tornat en Alexandria recullís en una nau e passà en Venècia E essent junt en Venècia donà tots quants diners li eren restats al scuder perquè lhavie ben servit e coŀlocàl en matrimoni perquè nos curàs de tornar en Anglaterra E féu posar fama al scuder com era mort e ginyà ab mercaders que scriviren en Anglaterra com lo comte Guillem de Veroych era mort tornantsen de la Casa Sancta de Hierusalem Sabent la virtuosa comtessa tal nova fonch molt atribulada e féu molt desmoderat dol e féuli fer les obsèquies que un tan virtuós cavaller era merexedor Aprés per discús de temps lo comte sen tornà en la sua pròpria terra tot sol ab los cabells larchs fins a les spatles e la barba fins a la cinta tota blanca e vestit de làbit del gloriós sanct Francesch vivint de almoynes E secretament se posà en una devota hermita de Nostra Dona senyora nostra la qual distava molt poch de la sua ciutat de Varoych Aquesta hermita stava en una alta muntanya molt delitosa de arbres de gran spessura ab una molt lúcida font qui corria Aquest virtuós comte sera retret en aquesta deserta habitació fent solitària vida per fugir als mundanals negocis a fi que de sos defalliments pogués fer condigna penitència E perseverant en sa virtuosa vida vivint de almoynes una volta la setmana ell anava a la sua ciutat de Veroych per demanar karitat E desconegut per les gents per la gran barba e cabells lonchs que ell portava solicitava ses almoynes e anava a la virtuosa comtessa muller sua per demanarli karitat la qual veentlo ab humilitat tan profunde demanarli almoyna li feÿa dar molt més karitat que a tots los altres pobres E axí passà per algun temps la sua pobre e miserable vida
CAPÍTOL QUINT,COM LO REY DE CANÀRIA AB GRAN STOL PASSÀ EN LA ILLA DE ANGLATERRA Seguís aprés que lo gran rey de Canària jove fortíssim ab la viril inquieta joventut de nobles sperançes guarnida sempre spirant a honorossa victòria féu gran stol de naus e de galeres e passà a la nobla illa de Anglaterra ab gran multitut de gents Per ço com algunes fustes de cosaris havien robat un loch seu pres en si molt gran ira e inflamat de gran supèrbia perquè algú havia tengut gosar de enujarlo ab molt gran armada partí de la sua terra e navegant ab pròsper vent arribà en les fèrtils e pacífiques ribes de Anglaterra E en la scura nit tot lo repleguat stol entrà dins lo port dAntona e ab gran stúcia desembarcare<n>7 e tota la morisma isqué en terra sens que per los de la illa no foren sentits Com foren tots en terra ordenaren lurs batalles e començaren a córrer per la illa Lo pasífich rey sabuda la mala nova de lur venguda ajustà la més gent que pogué per resistirlos e donà batalla als moros hon agué molt gran conflicte que y morí molta gent de una part e de altra e molt més dels cristians E per ço com los moros eren molts més levaren lo camp e lo anglés rey fonch romput e sagué a retraure ab la gent que restada li era e recullís dins una ciutat quis nomena Sanct Thomàs de Conturberi allí hon jau lo seu sanct cors Lo rey de Anglaterra tornà ajustar més gent e sabé que los moros anaven conquistant per la illa fent morir molts cristians e desonint dones e donzelles e posantles totes en captivitat Com lo cristianíssim rey sabé que los moros havien de passar prop de una ribera daygua mèsse en un pas a la hora de la miga nit emperò tant secretament nos féu que no restà que los moros ne agueren sentiment e detinguerense fins que fonch lo dia clar Donarenlos molt cruel batalla en la qual moriren molts cristians e los qui vius restaren fugiren ab lo infortunat rey E lo rey moro restà en lo camp Gran fonch la desaventura de aquest rey cristià que IX batalles perdé una aprés de altra e sagué a retraure dins la ciutat de Londres e allí se féu fort Com los moros ho saberen posarenli siti entorn de la ciutat e donarenhi prestament un bon combat que entraren e prengueren fins a la meytat del pont E cascun dia shi fehien de molts bells fets de armes emperò a la fi lo afligit rey hagué de exir per força de Londres per la gran fam que y havia e féu la via de les muntanyes de Gales e passà per la ciutat de Varoych Com la virtuosa comtessa sabé que lo rey venia fugint e molt desaventurat féu aparellar per aquella nit viandes e tot lo que mester havien La comtessa com a dona de gran prudència pensà com poria restaurar la sua ciutat que nos perdés tan prest E com véu lo rey dixli semblants paraules Virtuós senyor en gran aflictió veig posada la senyoria vostra e a tots quants en aquesta illa som Emperò senyor si vostra altesa volrà aturar en aquesta vostra ciutat e mia la trobareu abundosa de viures e de totes coses necessàries per a la guerra car mon senyor e marit en Guillem de Varoych qui era comte de aquesta terra forní sta ciutat e lo castell axí darmes com de bombardes balestes e colobrines e spingardes e molta altra artellaria e la divina Bondat per sa clemència quins ha dats quatre anys següents molt gran abundància dels fruyts de la terra Per què la senyoria vostra pot ací segurament star Respòs lo rey Comtessa a mi par que vós me donau bon consell pus la ciutat és tan fort e ben provehida de totes coses necessàries a la guerra e tota hora que yo men vulla anar ho poré ben fer Sí Sancta Maria Senyor dix la comtessa posat cas que los moros fossen molt més que no són per força han de venir per lo pla que per laltra part no poden per lo gran riu que y és qui fir a les muntanyes de Gales Molt só content dix lo rey de restar ací he us prech comtessa que vós doneu orde que la mia host ab sos dinés sia ben provehida de les coses necessàries De continent la virtuosa comtessa se partí del rey ab dos donzelles e ab los regidors de la ciutat anà per les cases fent traure forment e civades e tot lo que havia necessari Com lo rey e tots los altres veren tan gran abundància de totes coses foren molt contents e en special de la molta diligència de la virtuosa comtessa Com los moros saberen que lo rey sera partit de la ciutat de Londres seguirenlo fins que saberen que sera recullit dins la ciutat de Varoych Los moros fent aquella via combateren un castell e prenguerenlo quis nomenava Alimburch qui era a dues legües hon stava lo rey e ja que havien conquistat una gran part del regne E lo dia de sanct Joan lo rey moro per fer alegria vench ab tot son poder davant la ciutat de Varoych Lo afligit rey cristià vehentse ab la sperança perduda no sabé què pogués fer pujàsen alt en una torre del castell mirant la gran morisma qui cremaven e destroÿen viles e castells feent morir tants cristians com podien axí hòmens com dones Los qui campar podien venien cridant e corrent devers la ciutat qui de bona mija legua los podien ben sentir los mortals crits que daven per lo gran perdiment que feÿen per ço com los convenia de morir ho de ésser catius en poder de infels Estant en tal manera lo rey mirant la morisma e lo gran dan que feÿen de grandíssima dolor pensava morir E no podent mirar la sua desolació devallà de la torre hon stava e entràssen dins un petit retret e aquí començà de lançar dolorosos sospirs e los seus hulls destiŀlant vives làgrimes fehent les majors lementacions que un home jamés pogués fer Los cambrés qui staven fora del retret staven scoltant lo dol que lo rey feÿa E com hagué molt plorat e lamentat féu principi a semblants paraules
CAPÍTOL SISÉ,LEMENTACIÓ QUE FÉU LO REY Si a Déu plasent pot ésser que yo més que vivent miserable sia envergonyit vingua la mort sobre mi qui és lo darrer remey de tots los mals Car a mi recrexen infinits sospirs tants e tals que si virtut nom resistís abreugeria los dies meus O de mi desaventurat rey que tot lo món mos dans a pietat mouen e tan pochs advocats en ma justa causa trobe O Rey sobirà de glòria si la passió e poch saber vivament les mies fatigues a dir nom donen loch supleix tu Senyor los defectes de la mia ignorància puix tan ample e clar camí te mostra la mia justícia E no vulles Senyor per la tua pietat e misericòrdia que aquest teu poble cristià encara que sia gran peccador no permeta la tua clemència que sia affligit per la morisma mas conserval e defénlo e sia reduÿt al teu sanct servey perquèt pugua servir e donar lahor e glòria Car en tal punt stich com lo treballat mariner que fallintli aquell port a hon sperança de repòs presumia Per ço recórrech a tu sacratíssima Mare de aquell Déu Jesús que vulles per la tua pietat e misericòrdia soccórrer e ajudar e deliuram de aquesta gran inpressió en la qual só posat a fi que en lo meu regne sia glorificat lo sanct nom del teu gloriós Fill E stant lo afligit rey en aquestes lementacions posà lo cap sobre lo lit e donàli de parer que ves entrar per la porta del retret una bellíssima donzella vestida de domàs blanch ab un petit infant en los seus braços e moltes altres donzelles venien aprés della cantant totes lo Magnificat Com fon acabat de dir la senyora delles se acostà devers lo rey e posàli la mà sobre lo cap e dixli semblants paraules No duptes rey en res hages bona confiança que lo Fill e la Mare te ajudaran en aquesta gran tribulació en què posat stàs E lo primer home que veuràs ab longua barba quet demanarà per amor de Déu karitat besal en la boqua en senyal de pau e pregual graciosament que dexe làbit que porta e feslo capità de tota la gent Lo adolorit rey se despertà e no véu res Stigué admirat del sompni que fet havia e pensà molt en aquell recordantli tot lo que vist havia E isqué fora del retret e foren allí tots los majors cavallers qui digueren al rey Senyor tots los moros se són atendats davant la ciutat Lo rey féu molt bon sforç en la millor manera que pogué e féu molt ben guardar aquella nit la ciutat Lo matí següent lo comte hermità era pujat en la alta muntanya per a cullir erbes per a sustentació de sa vida e véu la gran morisma que corrien tota la terra Desemparà la sua deserta habitació e recullís dins la ciutat la qual trobà molt adolorida Lo pobre de vell que molts dies eren passats que no havia menjat sinó erbes véu la ciutat molt atribulada anàssen al castell per demanar a la comtessa li plagués donar karitat Com fonch dins lo castell véu lo rey qui exia de hoyr missa e vehentlo molt prop de si agenollàs davant ell e supplicàl que per reverència de Déu li volgués dar karitat E lo rey recordantli lo sompni ajudàl a levar e besàl en la boqua e preslo per la mà e mèslo dins en una cambra E aseguts lo rey féu principi a semblants paraules
CAPÍTOL SETÉ,COM LO REY DE ANGLATERRA PREGÀ A LHERMITÀ La sperança gloriosa que tinch de la tua molta virtut pare reverent me dóna ànimo de pregarte quens vulles donar ajuda e consell en la molta nostra necessitat com te veja home de sancta vida e amich de Jesuchrist que vulles considerar e dolret del gran dan e destructió que aquests malvats infeels fan e han fet en lo nostre regne que la major part de la illa han destroÿda e hanme vençudes moltes e diverses batalles e morta la millor cavalleria que en lo meu regne era E si no has dolor de mi hajes compassió de tan poble crestià qui és jutgat a perpetual cativeri e dones e donzelles qui són e seran desonides e posades en captivitat E contempla que encara que aquesta ciutat sia ben provehida de vitualles e de les altres coses pertanyents a la guerra que per açò nons porem molt sostenir per la morisma que és molta que ja tenen conquistada la major part de la illa e no entendran sinó en la nostra destructió e majorment com no speram socors de nengú si ja no de la misericòrdia de nostre Senyor per mijà de ta reverència Per quèt prech carament si tens amor a Déu ni karitat en tu habita que hajes compassió de aquest afligit regne e desolació de aquell que per ta virtut te vulles despullar aquexes robes que portes de penitència e vulleste vestir les de karitat que són les armes que mijançant lo adjutori divinal e la subvenctió8 tua nosaltres atenyerem gloriosa victòria de nostres enemichs Acabant lo rey paraules de tanta compassió acompanyades lermità féu principi a parlar de semblant stil
CAPÍTOL HUYTÉ,LA RESPOSTA QUE LERMITÀ FA AL REY La selcitut de vostra senyoria e exceŀlència mon senyor me fa star molt admirat com yo essent pobre e dèbil que la senyoria vostra me demane consell e ajuda considerada la condició e disposició mia Com la exceŀlència vostra no ignora la mia dèbil e antigua persona ésser posada en decrepitut gran axí per los molts dies com per la aspra vida que per lonch temps he sostenguda en la muntanya no vivint sinó de erbes e de pa la mia virtut no pot ésser tal que bastàs a comportar les armes majorment com non sia husat E demana la senyoria vostra a mi consell qui teniu en lo regne vostre tants barons e cavallers valentíssims abtes e molt destres en les armes qui us poden millor de mi aconsellar e ajudar Bé us sé dir mon senyor que si jo fos stat virtuós cavaller ni sabés alguna cosa en lart de la cavalleria e destre en les armes yo de bona voluntat serviria la magestat vostra e posaria la mia dèbil persona a tot perill de mort per posar en libertat tant poble cristià e majorment a la magestat vostra de la qual serà gran dan que en tan gran joventut hajau ésser despossehit de la vostra real senyoria Per què supplich a la exceŀlència vostra que majau per scusat Lo adolorit rey molt enujat de tal resposta féu principi a tal parlar
CAPÍTOL IX,RÈPLICA QUE LO REY FA A LERMITÀ No és de admetre scusació de tan justa demanda si pietat e misericòrdia en tu habiten Car no ignora la tua reverència que los sancts benaventurats e los màrtirs per aumentar e defendre la sancta fe cathòlica han batallat contra los infels e han obtessa gloriosa corona de martiri e triümphant glòria confortat lo lur virtuós ànimo per la divina potència Per què pare reverent me agenolle als teus peus e ab aquestes mies doloroses làgrimes te torne a suplicar que si fidelíssim cristià est que per reverència de aquella sacratíssima passió que lo nostre mestre e senyor Déu Jhesús volgué passar en larbre de la vera creu per rembre natura humana que hajes compassió de mi afligit rey e de tot lo poble cristià qui tota la mia e lur sperança stà en la misericòrdia de Déu e en la tua molta virtut E açò nom vulles denegar per la molta bondat tua Mogueren a pietat les doloroses làgrimes de lentrestit rey a lhermità e amollit lo seu piadós cor lançà dels seus hulls vives làgrimes de gran compassió Per bé que lo prepòsit seu tostemps fon de subvenirlos emperò volgué sperimentar la constància del rey Aprés un poch spay que lermità hagué fet levar lo rey aleujades les sues làgrimes féu principi a tals paraules
CAPÍTOL X,LA RESPOSTA DIFFINITIVA QUE LERMITÀ FÉU AL REY A tu rey prudentíssim jove qui has viscut en benaventurada vida mèritament sesguarda en la executió de les obres virtuoses subtilment mires e a mi vell seguint les retgles de cavalleria ab grandíssim perill gloriosa fama atengua Als vells animosos basta que sens fer legea de covarts actes sostinguen la primera que en la joventut ab excés de perillosos treballs guanyaren E posat cas veritat les tues piadoses paraules advoque rahonablament han tengut en mi força les tues doloroses làgrimes ans que mon deliber no essent a tu publicat justament me agués obliguat a la executió de tal empresa O entrestit rey Hi en tan pocha sperança tens ta vida Stuye aquexes làgrimes a menys desigada fortuna que aquesta Puix veig que tes preguàries són tan humills e justes per amor de Aquell per qui mas conjurat e per amor de tu qui est mon natural senyor yo só content de obeyr los teus manaments e entendre ab summa diligència en la liberació de tu e de ton regne em dispondré si mester serà de entrar en batalla axí vell com me só per defendre la cristiandat e aumentar la sancta fe cathòlica e per baxar la supèrbia de la mafomètica secta ab pacte tal que ta exceŀlència se regesca a mon consell car ab lo divinal adjutori yot daré gloriosa honor e fer té vençedor de tots los teus enemichs Respòs lo rey Pare reverent puix me feu tanta gràcia yo us promet a fe de rey que no passaré un punt la ordinació vostra Ara senyor dix lermità com seràs defora en la gran sala mostra als cavallers e a tot lo poble la tua cara alegra e molt contenta e ab gran afabilitat parlaràs a tots E al dinar menja bé e dónat plaer e mostra molt més alegria de la que acostumat havies per ço que tots aquells qui tenen lesperança perduda la puguen retrobar car lo senyor o lo capità per gran adversitat que li vingua no deu mostrar la sua cara trista per no smayar la sua gent E fesme dar unes vestidures de moro e veuràs lo que yo faré car anant a la Casa Sancta de Hierusalem fuy en Alexandria e en Barut me fonch mostrada la lengua morisca perquè aturí grans dies ab ells e aprenguí dins Barut fer magranes de certs materials compostes que stan VI hores en poderse ensendre e com són ençeses bastarien a tot lo món a cremar que com més aygua hi lançen més sençenen que tota laygua del món no les bastaria apagar si ja no les apaguen ab oli e ab razina de pi Cosa és de gran admiració dix lo rey que ab oli e ab razina de pi se agen apagar e no ab altra cosa car yo crehia que laygua apagava tots los fochs del món No senyor dix lermità Si la senyoria vostra me dóna licència que vaja fins a la porta del castell yo portaré sol un material ab aygua clara o ab vi encendreu una antorxa Per la mia fe dix lo rey molt hauré singular plaer de veureu E lermità prestament anà a la porta del castell per ço com a lentrar hi havia vista calç viva Presne una poca gleva e tornà hon era lo rey e pres una poca daygua e lançàlay desús e ençés ab una palleta una candela Dix lo rey Yo jamés aguera pogut creure speriència tal si de mos hulls no u agués vist Ara no tinch res per impossible que los hòmens no sàpien fer En special tals sabers cahuen en gents qui van molt per lo món e prechte pare reverent me faces gràcia de dirme totes les coses necessàries per aquest fet de la magranes del que y és mester Yo senyor dix lermità les yré a comprar per ço com sé millor conéxer los materials si són bons per ço com yo les he fetes moltes voltes de les mies mans E com seran fetes yo senyor yré tot sol devers lo camp dels moros e prop la tenda del rey yo posaré les magranes e com vendrà quasi la hora de la miga nit les magranes seran ençeses e tots los moros cuytaran devers aquella part per apagar lo foch e la tua senyoria starà armat ab tota la tua gent Com veuràs lo gran foch ab tota la gent fir sobre ells e fas certa la senyoria tua que X mília dels teus basten a desconfir C mília dels altres Car yo puch dir ab tota veritat a la exceŀlència tua que trobantme en Barut viu un altre cas semblant de un rey contra altre e ab la ajuda de nostre senyor Déu e per consell meu la ciutat fonch liberada dels enemichs e lo rey qui stava dins la ciutat fonch vençedor e laltre quil tenia asetgat fonch vençut E la senyoria tua deu fer son poder e qualsevulla cavaller de saber coses per a ofendre sos enemichs e defendre sos amichs
